"factory_id","factory_name","industry_type","number_of_employees","production_technology_level","quality_certification","supply_chain_integration","lean_manufacturing_practice","maintenance_strategy","six_sigma_maturity_level","automation_level","employee_training_program","year","total_units_produced","defective_units","total_hours_worked","overtime_hours","energy_consumed_kwh","safety_incidents","employee_performance","defect_rate","energy_efficiency_kwh_per_unit","employee_satisfaction","machine_downtime_hours","waste_generated_kg"
105,PT Mandala Vertex Corp,Consumer Goods,2500,Basic,ISO 14001,Medium,Implemented,Predictive,Managed,High,Moderate,2020,39270,894,105025,9606,2225966,11,0.75,0.0228,566836,7,405,8432
110,PT Pilaris Integrasi,Pharmaceuticals,1750,Advanced,ISO 14001,Medium,Not Implemented,Predictive,Defined,High,Extensive,2022,5213,50,287808,21450,2390512,0,0.05,0.0096,4585674,9,293,11886
105,PT Mandala Vertex Corp,Consumer Goods,2728,Basic,ISO 14001,Medium,Implemented,Predictive,Managed,High,Moderate,2021,34174,1832,115897,1019,2427781,16,0.95,0.0536,710418,9,254,27033
104,PT Primex Global,Food Processing,3798,Intermediate,ISO 9001,Low,Not Implemented,Predictive,Defined,Low,Extensive,2024,37012,1307,270761,24504,2671933,5,0.7,0.0353,72191,9,313,846
109,PT Metrovia Industrial,Pharmaceuticals,2889,Intermediate,"",Low,Implemented,Predictive,Managed,High,Minimal,2024,18822,1245,112808,16267,599612,2,0.0,0.0661,31857,1,386,35898
109,PT Metrovia Industrial,Pharmaceuticals,2200,Intermediate,"",Low,Implemented,Predictive,Managed,High,Minimal,2020,13993,703,112329,21674,1701593,7,0.05,0.0502,1216032,2,375,47959
101,PT Ardanta Nusantara,Consumer Goods,354,Basic,"",Low,Not Implemented,Predictive,Managed,Low,Minimal,2021,44013,3911,298553,13443,155452,4,0.7,0.0889,3532,10,16,27667
101,PT Ardanta Nusantara,Consumer Goods,405,Basic,"",Low,Not Implemented,Predictive,Managed,Low,Minimal,2024,37711,1489,230113,6839,371157,3,0.85,0.0395,98421,9,27,40180
101,PT Ardanta Nusantara,Consumer Goods,370,Basic,"",Low,Not Implemented,Predictive,Managed,Low,Minimal,2022,19808,1616,282227,28965,1032069,14,0.7,0.0816,521036,9,169,30008
101,PT Ardanta Nusantara,Consumer Goods,374,Basic,"",Low,Not Implemented,Predictive,Managed,Low,Minimal,2023,3322,204,230803,16308,2026705,16,0.8,0.0614,6100858,8,30,37713
103,PT Cakrawala Dynamics,Household Products,1200,Intermediate,ISO 14001,Medium,Partially Implemented,Reactive,Managed,Medium,Extensive,2020,15317,979,42486,5094,415967,5,0.45,0.0639,271572,7,184,49396
103,PT Cakrawala Dynamics,Household Products,1213,Intermediate,ISO 14001,Medium,Partially Implemented,Reactive,Managed,Medium,Extensive,2021,29890,889,174255,28869,597257,17,0.9,0.0297,199818,1,383,44886
103,PT Cakrawala Dynamics,Household Products,1506,Intermediate,ISO 14001,Medium,Partially Implemented,Reactive,Managed,Medium,Extensive,2024,14509,1165,134406,5682,859457,5,0.0,0.0803,592361,1,439,39751
102,PT Sigma Artha Industries,Household Products,465,Basic,"",Medium,Implemented,Reactive,Managed,Medium,Minimal,2021,32981,2174,80337,1541,1555534,8,0.9,0.0659,471645,2,336,403
102,PT Sigma Artha Industries,Household Products,515,Basic,"",Medium,Implemented,Reactive,Managed,Medium,Minimal,2023,43941,1631,57194,6732,1879880,14,0.75,0.0371,427819,2,364,35350
102,PT Sigma Artha Industries,Household Products,526,Basic,"",Medium,Implemented,Reactive,Managed,Medium,Minimal,2024,9367,443,60786,6126,2241840,16,0.05,0.0473,2393338,8,224,42781
102,PT Sigma Artha Industries,Household Products,450,Basic,"",Medium,Implemented,Reactive,Managed,Medium,Minimal,2020,48530,3128,138674,10615,2547067,9,0.05,0.0645,524844,9,349,23557
106,PT Lintas Mitra Group,Household Products,1964,Basic,ISO 14001,Medium,Partially Implemented,Preventive,Managed,Low,Extensive,2022,14255,958,93348,5363,57946,16,0.6,0.0672,4065,10,387,18628
106,PT Lintas Mitra Group,Household Products,1915,Basic,ISO 14001,Medium,Partially Implemented,Preventive,Managed,Low,Extensive,2021,21559,1843,34982,916,166170,1,0.5,0.0855,77077,9,455,19377
106,PT Lintas Mitra Group,Household Products,2076,Basic,ISO 14001,Medium,Partially Implemented,Preventive,Managed,Low,Extensive,2024,22816,981,292793,8943,672951,16,0.65,0.043,294947,1,386,32966
106,PT Lintas Mitra Group,Household Products,2055,Basic,ISO 14001,Medium,Partially Implemented,Preventive,Managed,Low,Extensive,2023,1199,116,227011,3099,1718353,19,0.45,0.0967,14331551,5,13,38331
104,PT Primex Global,Food Processing,3459,Intermediate,ISO 9001,Low,Not Implemented,Predictive,Defined,Low,Extensive,2023,24496,486,140495,8379,2683679,8,0.85,0.0198,1095558,10,14,2460
105,PT Mandala Vertex Corp,Consumer Goods,2985,Basic,ISO 14001,Medium,Implemented,Predictive,Managed,High,Moderate,2022,33499,2248,248328,3784,2848163,3,0.55,0.0671,850223,6,95,26744
104,PT Primex Global,Food Processing,3277,Intermediate,ISO 9001,Low,Not Implemented,Predictive,Defined,Low,Extensive,2022,47588,2661,38013,4613,2856134,8,0.4,0.0559,600179,3,227,18695
109,PT Metrovia Industrial,Pharmaceuticals,2563,Intermediate,"",Low,Implemented,Predictive,Managed,High,Minimal,2022,30895,1297,49010,7032,2680581,19,0.25,0.042,867642,1,494,8498
109,PT Metrovia Industrial,Pharmaceuticals,2690,Intermediate,"",Low,Implemented,Predictive,Managed,High,Minimal,2023,39128,372,21304,1523,2718421,5,0.25,0.0095,694751,2,354,48743
109,PT Metrovia Industrial,Pharmaceuticals,2375,Intermediate,"",Low,Implemented,Predictive,Managed,High,Minimal,2021,38239,1349,90685,16060,2881750,5,0.35,0.0353,753615,1,330,44729
107,PT Paramita Integrasi,Pharmaceuticals,250,Advanced,"",Medium,Not Implemented,Preventive,Managed,Low,Minimal,2024,30559,2167,270868,12116,951452,5,0.1,0.0709,311349,9,474,12193
107,PT Paramita Integrasi,Pharmaceuticals,238,Advanced,"",Medium,Not Implemented,Preventive,Managed,Low,Minimal,2023,42599,2882,26749,3761,1199615,9,0.3,0.0677,281606,10,134,2424
107,PT Paramita Integrasi,Pharmaceuticals,214,Advanced,"",Medium,Not Implemented,Preventive,Managed,Low,Minimal,2021,4831,18,108439,7344,1988092,15,0.1,0.0037,411528,6,279,23341
107,PT Paramita Integrasi,Pharmaceuticals,229,Advanced,"",Medium,Not Implemented,Preventive,Managed,Low,Minimal,2022,7326,259,128233,8984,2099147,12,0.05,0.0354,2865339,3,496,2132
107,PT Paramita Integrasi,Pharmaceuticals,200,Advanced,"",Medium,Not Implemented,Preventive,Managed,Low,Minimal,2020,40193,3504,256409,1325,2422391,18,0.1,0.0872,60269,5,22,5322
101,PT Ardanta Nusantara,Consumer Goods,350,Basic,"",Low,Not Implemented,Predictive,Managed,Low,Minimal,2020,5232,337,288057,22603,2702099,14,0.55,0.0644,5164562,8,303,24114
103,PT Cakrawala Dynamics,Household Products,1290,Intermediate,ISO 14001,Medium,Partially Implemented,Reactive,Managed,Medium,Extensive,2022,2614,111,40398,4404,2686281,14,0.25,0.0425,10276515,5,230,12924
103,PT Cakrawala Dynamics,Household Products,1383,Intermediate,ISO 14001,Medium,Partially Implemented,Reactive,Managed,Medium,Extensive,2023,32666,1125,36105,4433,2707397,1,0.95,0.0344,828812,10,58,23892
102,PT Sigma Artha Industries,Household Products,499,Basic,"",Medium,Implemented,Reactive,Managed,Medium,Minimal,2022,6925,223,125887,10466,2855257,14,0.0,0.0322,4123115,4,212,10810
106,PT Lintas Mitra Group,Household Products,1800,Basic,ISO 14001,Medium,Partially Implemented,Preventive,Managed,Low,Extensive,2020,10699,946,75672,11437,2354445,11,0.75,0.0884,2200622,1,217,13737
