fact_id,factory_id,factory_name,location,industry_type,factory_size,number_of_employees,manager_name,certification,main_products,year,total_units_produced,defective_units,operational_cost_idr,maintenance_cost_idr,total_hours_worked,overtime_hours,energy_consumed_kwh,safety_incidents,employee_performance,defect_rate,cost_per_unit_idr,energy_efficiency_kwh_per_unit,shift_type,employee_satisfaction,production_line,machine_downtime_hours,waste_generated_kg
1010,105,PT Unilever Indonesia,"Tangerang, Banten",Consumer Goods,Large,2500,Ibu Maya,ISO 9001,Personal Care Products,2022,43161,164,2025692426,278830707,195215,24973,623622,No Incident,0.6000000000000001,0.0038,46933.4,14.4487,Day,8,Line B,190,27048
1195,101,PT Batik Solo,"Surakarta, Central Java",Textile,Medium,350,Ibu Sari,ISO 9001,Batik Clothes,2020,37996,2291,2372367825,370090097,124359,16545,1793039,No Incident,0.35000000000000003,0.0603,62437.3,47.1902,Mixed,8,Line D,198,19296
1407,108,PT Wings Surya,"Surabaya, East Java",Household Products,Medium,400,Wibowo,ISO 9001,Cleaning Products,2020,16840,366,3960297983,207475709,229783,12817,1655435,No Incident,0.4,0.0217,235172.09,98.3037,Night,9,Line A,466,29761
1085,107,PT Sariwangi,"Bandung, West Java",Tea Processing,Small,200,Ibu L.,ISO 9001,Tea Bags,2020,31975,263,4246746724,315913832,211347,25204,2875393,No Incident,1.0,0.0082,132814.6,89.9263,Mixed,6,Line D,172,21138
1372,104,PT Indofood Sukses,Jakarta,Food Processing,Large,3000,Rahmat H.,ISO 22000,Instant Noodles,2020,32575,280,3821556992,90040260,79671,0,2745270,Low,0.05,0.0086,117315.64,84.2754,Night,5,Line D,329,15986
1389,102,Yamaha Music Indonesia,Jakarta,Musical Instruments,Medium,450,Joyo,ISO 14001:2015,Electric Guitars,2024,30054,542,1621443304,269797380,232394,4736,1449631,No Incident,0.45,0.018,53951.0,48.2342,Mixed,5,Line A,263,6947
1496,104,PT Indofood Sukses,Jakarta,Food Processing,Large,3000,Rahmat,ISO 22000,Instant Noodles,2020,25143,90,2414160568,340645544,141187,9473,1659677,No Incident,0.75,0.0036,96017.2,66.0095,Mixed,4,Line C,200,9570
1031,105,PT Unilever Indonesia,"Tangerang, Banten",Consumer Goods,Large,2500,Ibu M.,ISO 9001:2015,Personal Care Products,2020,5733,349,4096715953,104728848,144015,21018,992968,No Incident,0.4,0.0609,714585.03,173.2022,Mixed,1,Line A,133,33867
1317,103,PT Krakatau Steel,"Cilegon, Banten",Steel Manufacturing,Large,1200,Ibu Dewi,ISO 45001,Steel Sheets,2020,26740,137,359892306,269888044,167068,2196,2072241,No Incident,0.55,0.0051,13458.95,77.4959,Night,7,Line D,403,2338
1409,104,PT Indofood Sukses,Jakarta,Food Processing,Large,3000,Rahmat,ISO 22000,Instant Noodles,2020,16840,366,3960297983,207475709,229783,12817,1655435,No Incident,1.0,0.0217,235172.09,98.3037,Night,9,Line A,466,29761
1491,102,Yamaha Music Indonesia,Jakarta,Musical Instruments,Medium,450,Joyo,ISO 14001,Electric Guitars,2020,20196,1224,4387300307,242733427,234759,8256,2272937,No Incident,0.30000000000000004,0.0606,217236.1,112.5439,Day,4,Line B,346,32941
1492,104,PT Indofood Sukses,Jakarta,Food Processing,Large,3000,Rahmat,ISO 22000,Instant Noodles,2020,25143,90,2414160568,340645544,141187,9473,1659677,No Incident,0.5,0.0036,96017.2,66.0095,Mixed,4,Line C,200,9570
1281,107,PT Sariwangi,"Bandung, West Java",Tea Processing,Small,200,Lestari,ISO 9001,Tea Bags,2024,29318,200,1602077329,170178018,0,0,529357,Low,0.35000000000000003,0.0068,54644.84,18.0557,Night,6,Line D,202,15735
1357,110,PT Kalbe Farma,Jakarta,Pharmaceuticals,Large,1500,Budi,ISO 13485:2016,Medicines,2023,10284,0,4537733353,378579081,192540,97926,1425539,No Incident,0.65,0.0,441242.06,138.6172,Day,1,Line C,286,25796
1077,103,PT Krakatau Steel,"Cilegon, Banten",Steel Manufacturing,Large,1200,Dewi Susanti,ISO 45001,Steel Sheets,2020,3958,285,1959304320,267897721,153339,0,848349,No Incident,0.45,0.072,495023.83,214.3378,Mixed,2,Line D,323,29457
1462,101,PT Batik Solo,"Surakarta, Central Java",Textile,Medium,350,Sari,ISO 9001,Batik Clothes,2023,54571,5178,1599071287,332855049,73549,281,1405468,Low,0.9,0.0949,29302.58,25.7549,Mixed,8,Line A,260,22960
1498,101,PT Batik Solo,"Surakarta, Central Java",Textile,Medium,350,Sari,ISO 9001,Batik Clothes,2020,25143,90,2414160568,340645544,141187,9473,1659677,No Incident,0.9500000000000001,0.0036,96017.2,66.0095,Mixed,4,Line C,200,9570
1212,104,PT Indofood Sukses,Jakarta,Food Processing,Large,3000,Bapak Rahmat,ISO 22000:2018,Instant Noodles,2020,6470,421,2694593458,161767238,220490,12583,2162156,No Incident,0.1,0.0651,416475.03,334.1818,Day,2,Line D,273,20565
1102,103,PT Krakatau Steel,"Cilegon, Banten",Steel Manufacturing,Large,1200,Ibu D.,ISO 45001,Steel Sheets,2020,31175,2836,3778163107,385667887,235540,21746,253628,No Incident,0.4,0.091,121192.08,8.1356,Mixed,7,Line C,174,9314
1335,105,PT Unilever Indonesia,"Tangerang, Banten",Consumer Goods,Large,2500,Ibu M.,ISO 9001,Personal Care Products,2022,20492,1547,3239621073,177635436,304838,846,1573309,No Incident,0.7000000000000001,0.0755,158091.99,76.7767,Night,2,Line D,0,18575
1476,106,PT Semen Indonesia,"Gresik, East Java",Cement Manufacturing,Large,1800,Bapak Agus,ISO 14001,Cement,2020,17226,338,3294041081,1992914806,145331,25049,1336174,No Incident,0.2,0.0196,191224.96,77.5673,Night,9,Line C,85,7093
1337,101,PT Batik Solo,"Surakarta, Central Java",Textile,Medium,350,Ibu S.,ISO 9001,Batik Clothes,2022,20492,1547,3239621073,177635436,304838,846,1573309,No Incident,0.05,0.0755,158091.99,76.7767,Night,2,Line D,0,18575
1441,102,Yamaha Music Indonesia,Jakarta,Musical Instruments,Medium,450,Joyo Pranoto,ISO 14001,Electric Guitars,2020,30910,2198,1243219146,273353937,246669,12690,1484174,No Incident,0.5,0.0711,40220.61,48.016,Mixed,3,Line A,446,37842
1174,109,PT Astra Otoparts,Jakarta,Automotive Components,Large,2200,Ibu I.,ISO 9001,Car Spare Parts,2020,22327,1774,3092703429,49654800,103937,3611,1638083,No Incident,0.5,0.0795,138518.54,73.3678,Mixed,2,Line A,72,43098
1003,104,PT Indofood Sukses,Jakarta,Food Processing,Large,3000,Rahmat H.,ISO 22000:2018,Instant Noodles,2020,12437,977,4736980676,419306079,138220,12546,3026082,No Incident,0.5,0.0786,380878.08,243.3129,Night,1,Line D,376,52092
1334,110,PT Kalbe Farma,Jakarta,Pharmaceuticals,Large,1500,Bapak B.,ISO 13485,Medicines,2022,20492,1547,3239621073,177635436,304838,846,1573309,No Incident,0.4,0.0755,158091.99,76.7767,Night,2,Line D,0,18575
1410,108,PT Wings Surya,"Surabaya, East Java",Household Products,Medium,400,Wibowo,ISO 9001,Cleaning Products,2020,16840,366,3960297983,207475709,229783,12817,1655435,No Incident,0.55,0.0217,235172.09,98.3037,Night,9,Line A,466,29761
1071,109,PT Astra Otoparts,Jakarta,Automotive Components,Large,2200,Ibu I.,ISO 9001:2015,Car Spare Parts,2021,17612,1557,2973360447,272016430,223636,8735,850264,No Incident,0.4,0.0884,168825.83,48.2775,Night,7,Line B,490,38954
1210,105,PT Unilever Indonesia,"Tangerang, Banten",Consumer Goods,Large,2500,Ibu Maya,ISO 9001:2015,Personal Care Products,2020,6470,421,2694593458,161767238,220490,12583,2162156,No Incident,0.75,0.0651,416475.03,334.1818,Day,2,Line D,273,20565
1064,103,PT Krakatau Steel,"Cilegon, Banten",Steel Manufacturing,Large,1200,Ibu D.,ISO 45001:2018,Steel Sheets,2021,17612,1557,2973360447,272016430,223636,8735,850264,No Incident,0.35000000000000003,0.0884,168825.83,48.2775,Night,7,Line B,490,38954
1385,108,PT Wings Surya,"Surabaya, East Java",Household Products,Medium,400,Wibowo,ISO 9001,Cleaning Products,2024,29783,1094,4019590896,181490383,89883,74396,2180783,No Incident,0.75,0.0367,134962.59,73.2224,Day,9,Line D,307,27489
1094,105,PT Unilever Indonesia,"Tangerang, Banten",Consumer Goods,Large,2500,Ibu M.,ISO 9001,Personal Care Products,2022,17530,992,1928845346,245543869,111149,6200,2703762,No Incident,0.75,0.0566,110031.11,154.2363,Mixed,3,Line B,256,39788
1486,110,PT Kalbe Farma,Jakarta,Pharmaceuticals,Large,1500,Budi,ISO 13485,Medicines,2020,20196,1224,4387300307,242733427,234759,8256,2272937,No Incident,0.9,0.0606,217236.1,112.5439,Day,4,Line B,346,32941
1186,107,PT Sariwangi,"Bandung, West Java",Tea Processing,Small,200,Ibu L.,ISO 9001,Tea Bags,2020,22327,1774,3092703429,49654800,103937,3611,1638083,No Incident,0.6000000000000001,0.0795,138518.54,73.3678,Mixed,2,Line A,72,43098
1034,106,PT Semen Indonesia,"Gresik, East Java",Cement Manufacturing,Large,1800,Bapak A.,ISO 14001:2015,Cement,2020,5733,349,4096715953,104728848,144015,21018,992968,No Incident,0.5,0.0609,714585.03,173.2022,Mixed,1,Line A,133,33867
1078,105,PT Unilever Indonesia,"Tangerang, Banten",Consumer Goods,Large,2500,Ibu M.,ISO 9001,Personal Care Products,2020,31975,263,4246746724,315913832,211347,25204,2875393,No Incident,0.4,0.0082,132814.6,89.9263,Mixed,6,Line D,172,21138
1001,106,PT Semen Indonesia,"Gresik, East Java",Cement Manufacturing,Large,1800,Agus Santoso,ISO 14001:2015,Cement,2020,12437,977,4736980676,419306079,138220,12546,3026082,No Incident,0.65,0.0786,380878.08,243.3129,Night,1,Line D,376,52092
1012,105,PT Unilever Indonesia,"Tangerang, Banten",Consumer Goods,Large,2500,Ibu Maya,ISO 9001,Personal Care Products,2022,43161,164,2025692426,278830707,195215,24973,623622,No Incident,0.8,0.0038,46933.4,14.4487,Day,8,Line B,190,27048
1416,109,PT Astra Otoparts,Jakarta,Automotive Components,Large,2200,Indah,ISO 9001,Car Spare Parts,2020,16840,366,3960297983,207475709,229783,12817,1655435,No Incident,0.8,0.0217,235172.09,98.3037,Night,9,Line A,466,29761
1023,108,PT Wings Surya,"Surabaya, East Java",Household Products,Medium,400,Bapak Wibowo,ISO 9001,Cleaning Products,2022,15427,113,1647611983,120130046,146910,11905,1174939,No Incident,0.35000000000000003,0.0073,106800.54,76.1612,Mixed,6,Line C,93,10003
1073,110,PT Kalbe Farma,Jakarta,Pharmaceuticals,Large,1500,Budi Santoso,ISO 13485,Medicines,2020,3958,285,1959304320,267897721,153339,0,848349,No Incident,0.35000000000000003,0.072,495023.83,214.3378,Mixed,2,Line D,323,29457
1183,101,PT Batik Solo,"Surakarta, Central Java",Textile,Medium,350,Ibu S.,ISO 9001,Batik Clothes,2020,22327,1774,3092703429,49654800,103937,3611,1638083,No Incident,0.15000000000000002,0.0795,138518.54,73.3678,Mixed,2,Line A,72,43098
1132,106,PT Semen Indonesia,"Gresik, East Java",Cement Manufacturing,Large,1800,Agus,ISO 14001,Cement,2020,17060,506,4505599175,370711968,110441,347,1271791,Low,0.05,0.0297,264103.12,74.5481,Mixed,8,Line C,294,31208
1411,103,PT Krakatau Steel,"Cilegon, Banten",Steel Manufacturing,Large,1200,Dewi,ISO 45001,Steel Sheets,2020,16840,366,3960297983,207475709,229783,12817,1655435,No Incident,0.05,0.0217,235172.09,98.3037,Night,9,Line A,466,29761
1194,110,PT Kalbe Farma,Jakarta,Pharmaceuticals,Large,1500,Bapak Budi,ISO 13485,Medicines,2020,37996,2291,2372367825,370090097,124359,16545,1793039,No Incident,0.6000000000000001,0.0603,62437.3,47.1902,Mixed,8,Line D,198,19296
1056,105,PT Unilever Indonesia,"Tangerang, Banten",Consumer Goods,Large,2500,Maya Putri,ISO 9001,Personal Care Products,2023,22117,1360,324281819,307186933,119078,746,2261916,Medium,0.75,0.0615,14662.11,102.2705,Day,6,Line C,210,0
1149,102,Yamaha Music Indonesia,Jakarta,Musical Instruments,Medium,450,Joyo Pranoto,ISO 14001:2015,Electric Guitars,2021,22707,0,2757681242,211887933,70739,7770,1691734,No Incident,0.55,0.0,121446.3,74.5028,Mixed,5,Line B,60,39955
1019,107,PT Sariwangi,"Bandung, West Java",Tea Processing,Small,200,Lestari Dewi,ISO 9001,Tea Bags,2022,0,0,560951721,153895510,170746,13019,1136954,Low,0.9,0.0,0.0,0.0,Night,7,Line B,342,46323
1205,109,PT Astra Otoparts,Jakarta,Automotive Components,Large,2200,Ibu Indah,ISO 9001,Car Spare Parts,2020,27540,133,2123112798,334342868,185208,30198,941241,No Incident,0.9500000000000001,0.0048,77091.97,34.1772,Mixed,4,Line C,161,36591
1079,103,PT Krakatau Steel,"Cilegon, Banten",Steel Manufacturing,Large,1200,Ibu D.,ISO 45001,Steel Sheets,2020,31975,263,4246746724,315913832,211347,25204,2875393,No Incident,0.75,0.0082,132814.6,89.9263,Mixed,6,Line D,172,21138
1495,105,PT Unilever Indonesia,"Tangerang, Banten",Consumer Goods,Large,2500,Maya,ISO 9001,Personal Care Products,2020,25143,90,2414160568,340645544,141187,9473,1659677,No Incident,0.9,0.0036,96017.2,66.0095,Mixed,4,Line C,200,9570
1263,104,PT Indofood Sukses,Jakarta,Food Processing,Large,3000,Rahmat,ISO 22000:2018,Instant Noodles,2024,38033,1999,2690366471,0,185139,23241,2496321,No Incident,0.2,0.0526,70737.69,65.6357,Mixed,8,Line D,83,16814
1324,108,PT Wings Surya,"Surabaya, East Java",Household Products,Medium,400,Bapak Wibowo,ISO 9001,Cleaning Products,2020,8491,545,3346202338,274564133,65056,7075,1993733,No Incident,0.15000000000000002,0.0642,394088.13,234.8054,Day,4,Line D,244,21697
1484,104,PT Indofood Sukses,Jakarta,Food Processing,Large,3000,Bapak Rahmat,ISO 22000,Instant Noodles,2020,17226,338,3294041081,1992914806,145331,25049,1336174,No Incident,1.0,0.0196,191224.96,77.5673,Night,9,Line C,85,7093
1080,108,PT Wings Surya,"Surabaya, East Java",Household Products,Medium,400,Bapak W.,ISO 9001,Cleaning Products,2020,31975,263,4246746724,315913832,211347,25204,2875393,No Incident,0.5,0.0082,132814.6,89.9263,Mixed,6,Line D,172,21138
1040,103,PT Krakatau Steel,"Cilegon, Banten",Steel Manufacturing,Large,1200,Dewi Susanti,ISO 45001:2018,Steel Sheets,2021,9833,769,5217964564,490097280,168965,1051,1647627,No Incident,0.1,0.0782,530658.45,167.561,Mixed,6,Line C,296,0
1452,107,PT Sariwangi,"Bandung, West Java",Tea Processing,Small,200,Lestari Dewi,ISO 9001:2015,Tea Bags,2021,24792,1038,4301176073,154420400,74048,1897,1799271,No Incident,0.25,0.0419,173490.48,72.5747,Mixed,3,Line B,384,26852
1047,105,PT Unilever Indonesia,"Tangerang, Banten",Consumer Goods,Large,2500,Maya Putri,ISO 9001:2015,Personal Care Products,2021,9833,769,5217964564,490097280,168965,1051,1647627,No Incident,0.8,0.0782,530658.45,167.561,Mixed,6,Line C,296,0
1239,106,PT Semen Indonesia,"Gresik, East Java",Cement Manufacturing,Large,1800,Agus Santoso,ISO 14001,Cement,2023,27083,1535,2438661152,368412717,223044,23994,1722435,Low,0.9,0.0567,90043.98,63.5984,Day,3,Line B,478,18081
1392,107,PT Sariwangi,"Bandung, West Java",Tea Processing,Small,200,Ibu L.,ISO 9001,Tea Bags,2020,27806,325,3462387975,421607882,120016,10290,1864644,No Incident,0.55,0.0117,124519.46,67.0591,Day,3,Line D,415,8796
1353,106,PT Semen Indonesia,"Gresik, East Java",Cement Manufacturing,Large,1800,Agus,ISO 14001:2015,Cement,2023,10284,0,4537733353,378579081,192540,97926,1425539,No Incident,0.75,0.0,441242.06,138.6172,Day,1,Line C,286,25796
1342,102,Yamaha Music Indonesia,Jakarta,Musical Instruments,Medium,450,Bapak J.,ISO 14001,Electric Guitars,2024,22015,489,3835803812,349772497,257502,3965,1537310,No Incident,1.0,0.0222,174235.92,69.8301,Night,7,Line A,70,12706
1278,104,PT Indofood Sukses,Jakarta,Food Processing,Large,3000,Bapak Rahmat,ISO 22000,Instant Noodles,2024,32292,1490,616310842,324268039,130462,23458,2428193,No Incident,0.35000000000000003,0.0461,19085.56,75.1949,Night,7,Line A,400,35240
1291,104,PT Indofood Sukses,Jakarta,Food Processing,Large,3000,Bapak R.,ISO 22000,Instant Noodles,2020,38338,3152,3413459298,290504498,191211,10650,669460,Low,0.6000000000000001,0.0822,89035.93,17.462,Night,7,Line B,6,10580
1318,105,PT Unilever Indonesia,"Tangerang, Banten",Consumer Goods,Large,2500,Ibu Maya,ISO 9001,Personal Care Products,2020,26740,137,359892306,269888044,167068,2196,2072241,No Incident,0.5,0.0051,13458.95,77.4959,Night,7,Line D,403,2338
1305,102,Yamaha Music Indonesia,Jakarta,Musical Instruments,Medium,450,Joyo Pranoto,ISO 14001,Electric Guitars,2020,25846,2062,713575064,247237190,128796,9958,1860199,No Incident,0.0,0.0798,27608.72,71.9724,Mixed,6,Line D,211,28938
1269,110,PT Kalbe Farma,Jakarta,Pharmaceuticals,Large,1500,Bapak Budi,ISO 13485,Medicines,2024,32292,1490,616310842,324268039,130462,23458,2428193,No Incident,0.8500000000000001,0.0461,19085.56,75.1949,Night,7,Line A,400,35240
1070,109,PT Astra Otoparts,Jakarta,Automotive Components,Large,2200,Ibu I.,ISO 9001:2015,Car Spare Parts,2021,17612,1557,2973360447,272016430,223636,8735,850264,No Incident,0.8,0.0884,168825.83,48.2775,Night,7,Line B,490,38954
1456,104,PT Indofood Sukses,Jakarta,Food Processing,Large,3000,Rahmat H.,ISO 22000:2018,Instant Noodles,2021,24792,1038,4301176073,154420400,74048,1897,1799271,No Incident,0.75,0.0419,173490.48,72.5747,Mixed,3,Line B,384,26852
1466,101,PT Batik Solo,"Surakarta, Central Java",Textile,Medium,350,Sari Wijaya,ISO 9001,Batik Clothes,2023,18447,710,3437330924,396509769,179742,17854,0,No Incident,0.6000000000000001,0.0385,186335.5,0.0,Night,2,Line D,429,14226
1155,107,PT Sariwangi,"Bandung, West Java",Tea Processing,Small,200,Ibu Lestari,ISO 9001,Tea Bags,2021,34842,284,571786228,43474619,157310,11421,1164053,No Incident,0.05,0.0082,16410.83,33.4095,Night,7,Line D,344,33863
1083,103,PT Krakatau Steel,"Cilegon, Banten",Steel Manufacturing,Large,1200,Ibu D.,ISO 45001,Steel Sheets,2020,31975,263,4246746724,315913832,211347,25204,2875393,No Incident,0.30000000000000004,0.0082,132814.6,89.9263,Mixed,6,Line D,172,21138
1478,107,PT Sariwangi,"Bandung, West Java",Tea Processing,Small,200,Ibu Lestari,ISO 9001,Tea Bags,2020,17226,338,3294041081,1992914806,145331,25049,1336174,No Incident,0.8,0.0196,191224.96,77.5673,Night,9,Line C,85,7093
1173,110,PT Kalbe Farma,Jakarta,Pharmaceuticals,Large,1500,Bapak B.,ISO 13485,Medicines,2020,22327,1774,3092703429,49654800,103937,3611,1638083,No Incident,1.0,0.0795,138518.54,73.3678,Mixed,2,Line A,72,43098
1322,110,PT Kalbe Farma,Jakarta,Pharmaceuticals,Large,1500,Bapak Budi,ISO 13485,Medicines,2020,8491,545,3346202338,274564133,65056,7075,1993733,No Incident,0.9500000000000001,0.0642,394088.13,234.8054,Day,4,Line D,244,21697
1091,101,PT Batik Solo,"Surakarta, Central Java",Textile,Medium,350,Ibu S.,ISO 9001,Batik Clothes,2020,31975,263,4246746724,315913832,211347,25204,2875393,No Incident,0.2,0.0082,132814.6,89.9263,Mixed,6,Line D,172,21138
1181,101,PT Batik Solo,"Surakarta, Central Java",Textile,Medium,350,Ibu S.,ISO 9001,Batik Clothes,2020,22327,1774,3092703429,49654800,103937,3611,1638083,No Incident,0.8500000000000001,0.0795,138518.54,73.3678,Mixed,2,Line A,72,43098
1415,110,PT Kalbe Farma,Jakarta,Pharmaceuticals,Large,1500,Budi,ISO 13485,Medicines,2020,16840,366,3960297983,207475709,229783,12817,1655435,No Incident,0.15000000000000002,0.0217,235172.09,98.3037,Night,9,Line A,466,29761
1313,109,PT Astra Otoparts,Jakarta,Automotive Components,Large,2200,Indah Putri,ISO 9001:2015,Car Spare Parts,2022,31535,1332,4731119194,126920063,270644,7490,1026148,No Incident,0.30000000000000004,0.0422,150027.56,32.54,Day,3,Line B,229,38124
1279,103,PT Krakatau Steel,"Cilegon, Banten",Steel Manufacturing,Large,1200,Dewi,ISO 45001,Steel Sheets,2024,29318,200,1602077329,170178018,0,0,529357,Low,0.6000000000000001,0.0068,54644.84,18.0557,Night,6,Line D,202,15735
1382,107,PT Sariwangi,"Bandung, West Java",Tea Processing,Small,200,Lestari,ISO 9001,Tea Bags,2024,29783,1094,4019590896,181490383,89883,74396,2180783,No Incident,0.2,0.0367,134962.59,73.2224,Day,9,Line D,307,27489
1473,106,PT Semen Indonesia,"Gresik, East Java",Cement Manufacturing,Large,1800,Agus Santoso,ISO 14001,Cement,2023,18447,710,3437330924,396509769,179742,17854,0,No Incident,0.15000000000000002,0.0385,186335.5,0.0,Night,2,Line D,429,14226
1363,101,PT Batik Solo,"Surakarta, Central Java",Textile,Medium,350,Ibu S.,ISO 9001,Batik Clothes,2021,35702,2244,2124030372,295138417,39594,1738,905858,No Incident,0.9,0.0629,59493.32,25.3728,Night,4,Line B,0,27072
1325,104,PT Indofood Sukses,Jakarta,Food Processing,Large,3000,Bapak Rahmat,ISO 22000,Instant Noodles,2020,8491,545,3346202338,274564133,65056,7075,1993733,No Incident,0.35000000000000003,0.0642,394088.13,234.8054,Day,4,Line D,244,21697
1432,102,Yamaha Music Indonesia,Jakarta,Musical Instruments,Medium,450,Joyo Pranoto,ISO 14001,Electric Guitars,2022,0,0,3794167293,155111495,118135,7927,1527137,No Incident,0.1,0.0,0.0,0.0,Night,2,Line D,352,14565
1348,102,Yamaha Music Indonesia,Jakarta,Musical Instruments,Medium,450,Bapak J.,ISO 14001,Electric Guitars,2024,22015,489,3835803812,349772497,257502,3965,1537310,No Incident,0.2,0.0222,174235.92,69.8301,Night,7,Line A,70,12706
1087,109,PT Astra Otoparts,Jakarta,Automotive Components,Large,2200,Ibu I.,ISO 9001,Car Spare Parts,2020,31975,263,4246746724,315913832,211347,25204,2875393,No Incident,0.55,0.0082,132814.6,89.9263,Mixed,6,Line D,172,21138
1076,104,PT Indofood Sukses,Jakarta,Food Processing,Large,3000,Rahmat H.,ISO 22000,Instant Noodles,2020,3958,285,1959304320,267897721,153339,0,848349,No Incident,0.4,0.072,495023.83,214.3378,Mixed,2,Line D,323,29457
1439,101,PT Batik Solo,"Surakarta, Central Java",Textile,Medium,350,Sari Wijaya,ISO 9001,Batik Clothes,2020,30910,2198,1243219146,273353937,246669,12690,1484174,No Incident,0.05,0.0711,40220.61,48.016,Mixed,3,Line A,446,37842
1016,103,PT Krakatau Steel,"Cilegon, Banten",Steel Manufacturing,Large,1200,Dewi Susanti,ISO 45001,Steel Sheets,2022,0,0,560951721,153895510,170746,13019,1136954,Low,0.65,0.0,0.0,0.0,Night,7,Line B,342,46323
